Key,en,es,ar
About Page Section,About Page Section,Acerca de la sección de la página,حول قسم الصفحة
Contact US Section,Contact US Section,Contáctanos la sección,اتصل بنا
Footer Section,Footer Section,Sección de pies,قسم تذييل
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد
Extensions,Extensions,Extensiones,الامتدادات
Usefull Links,Usefull Links,Enlaces útiles,روابط مفيدة
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Money Out,Money Out,Apagarse,لم يبقى اي من المال
Notification,Notification,Notificación,إشعار
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Total Add Money Request,Total Add Money Request,Solicitud total de dinero Agregar,إجمالي إضافة طلب المال
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال
Money Out Request,Money Out Request,Solicitud de dinero fuera,طلب المال
Money Out Balance,Money Out Balance,Balance de dinero fuera,المال الرصيد
User Active Tickets,User Active Tickets,Tickets activos del usuario,التذاكر النشطة للمستخدم
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Total User Invest,Total User Invest,Investigación de usuario total,إجمالي مستخدم المستخدم
Users Total Profit,Users Total Profit,Los usuarios de ganancias totales,إجمالي الربح للمستخدمين
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual de dinero Agregar,شهري إضافة الرسم البياني المال
Revenue Chart,Revenue Chart,Tabla de ingresos,مخطط الإيرادات
Yearly Investment Analytics,Yearly Investment Analytics,Análisis anual de inversiones,تحليلات الاستثمار السنوية
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم
Growth,Growth,Crecimiento,نمو
Latest Add Money,Latest Add Money,Último agregar dinero,أحدث إضافة المال
Download App,Download App,Descargar aplicación,تحميل التطبيق
Login,Login,Acceso,تسجيل الدخول
Contact,Contact,Contacto,اتصال
Announcement,Announcement,Anuncio,إعلان
Plan,Plan,Plan,يخطط
About,About,Acerca de,عن
Stay connected with us for regular updates,Stay connected with us for regular updates,Mantente conectado con nosotros para actualizaciones regulares,ابق على اتصال معنا للحصول على تحديثات منتظمة
Contact Us,Contact Us,Contáctenos,اتصل بنا
Layout Mode,Layout Mode,Modo de diseño,وضع التصميم
Topbar Color,Topbar Color,Color topbar,لون الشفر
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,RTL Support,Soporte RTL,دعم RTL
Find,Find,Encontrar,يجد
Faq,Faq,Preguntas más frecuentes,التعليمات
Web Journal,Web Journal,Diario web,مجلة الويب
Select Branch,Select Branch,Rama seleccionada,حدد فرع
Select Department,Select Department,Departamento seleccionado,حدد قسم
Doctor Name,Doctor Name,Nombre de doctor,اسم الطبيب
Search,Search,Buscar,يبحث
Find a Doctor,Find a Doctor,Encuentra un médico,اعثر على طبيب
Doctor List,Doctor List,Lista de doctor,قائمة الأطباء
Investigation,Investigation,Investigación,تحقيق
Home Service,Home Service,Servicio a domicilio,الخدمة المنزلية
Health Package,Health Package,Paquete de salud,حزمة الصحة
Branches,Branches,Sucursales,الفروع
Step,Step,Paso,خطوة
top,top,arriba,قمة
Appointment Preview,Appointment Preview,Vista previa de la cita,معاينة الموعد
Subscribe,Subscribe,Suscribir,يشترك
Created by,Created by,Creado por,انشأ من قبل
View More,View More,Ver más,عرض المزيد
Congratulations! Appointment Booking Confirmed Successfully.,Congratulations! Appointment Booking Confirmed Successfully.,¡Felicidades! La reserva de citas confirmada con éxito.,تهانينا! أكد حجز المواعيد بنجاح.
Booking Confirm.,Booking Confirm.,Reserva confirmar.,تأكيد الحجز.
Mobile,Mobile,Móvil,متحرك
Already Confirmed,Already Confirmed,Ya confirmado,أكد بالفعل
Confirm Appointment,Confirm Appointment,Confirmar la cita,تأكيد الموعد
Log in and Stay Connected,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال
"Log in and Stay Connected Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Log in and Stay Connected Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Inicie sesión y manténgase conectado nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",قم بتسجيل الدخول والبقاء متصلاً بعملية تسجيل الدخول الآمنة لدينا يضمن سرية معلوماتك. قم بتسجيل الدخول اليوم والبقاء على اتصال بأموالك ، في أي وقت وفي أي مكان.
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Don't Have An Account,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
Register Now,Register Now,Regístrate ahora,سجل الان
Register for an Account Today,Register for an Account Today,Regístrese para una cuenta hoy,سجل للحصول على حساب اليوم
"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Convierta en parte de nuestra comunidad registrándose para una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, proporcionando una experiencia perfecta y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل لحساب اليوم. استمتع بمجموعة من الفوائد والميزات المصممة لتلبية احتياجاتك. تجعل صفحة التسجيل الخاصة بنا من السهل إنشاء حسابك ، مما يوفر تجربة سلسة وسهلة الاستخدام.
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع
Terms Of Use,Terms Of Use,Condiciones de uso,شروط الاستخدام
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablece tu contraseña olvidada,أعد تعيين كلمة المرور المنسية
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Please enter the code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
We sent a 6-digit code to your email,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a su correo electrónico,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني
Didn't get the code,Didn't get the code,No obtuve el código,لم تحصل على الرمز
Set New Password,Set New Password,Establecer una nueva contraseña,اضبط كلمة مرور جديدة
Book Now,Book Now,Reservar ahora,احجز الآن
Doctor not found!,Doctor not found!,Doctor no encontrado!,لم يتم العثور على الطبيب!
Qualifications,Qualifications,Calificaciones,مؤهلات
Speciality,Speciality,Especialidad,تخصص
Language Spoken,Language Spoken,Lenguaje hablado,اللغة المنطوقة
Designation,Designation,Designación,تعيين
Department Name,Department Name,Nombre de Departamento,اسم القسم
Chamber,Chamber,Cámara,غرفة
Off Day,Off Day,Día libre,خارج اليوم
Floor Number,Floor Number,Numero de piso,رقم الدور
Room Number,Room Number,Número de habitación,رقم الغرفة
Branch Name,Branch Name,Nombre de rama,اسم الفرع
Fees,Fees,Honorarios,مصاريف
Schedule,Schedule,Cronograma,جدول
Appointment Form,Appointment Form,Formulario de cita,نموذج الموعد
Patient Name,Patient Name,Nombre del paciente,اسم المريض
Age,Age,Edad,عمر
Years,Years,Años,سنين
Months,Months,Meses,شهور
Type,Type,Tipo,يكتب
Select Type,Select Type,Seleccione tipo,اختر صنف
NEW,NEW,NUEVO,جديد
REPORT,REPORT,INFORME,تقرير
FOLLOWUP,FOLLOWUP,HACER UN SEGUIMIENTO,متابعة
Select Gender,Select Gender,Seleccione género,حدد نوع الجنس
MALE,MALE,MASCULINO,ذكر
FEMALE,FEMALE,FEMENINO,أنثى
OTHER,OTHER,OTRO,آخر
Your Message,Your Message,Tu mensaje,رسالتك
Write Here,Write Here,Escribe aquí,اكتب هنا
Enter your age,Enter your age,Introduzca su edad,أدخل عمرك
Address,Address,DIRECCIÓN,عنوان
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
Showing,Showing,Demostración,تظهر
results,results,resultados,نتائج
Tags,Tags,Etiquetas,العلامات
Share This Post,Share This Post,Compartir esta publicacion,شارك هذا المنشور
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Message,Message,Mensaje,رسالة
Send Message,Send Message,Enviar mensaje,إرسال الرسالة
Investigation not found,Investigation not found,Investigación no encontrada,التحقيق لم يتم العثور عليه
SERVICE,SERVICE,SERVICIO,خدمة
AT YOUR DOORSTEP,AT YOUR DOORSTEP,A tu puerta,على عتبة داركم
"No more waiting rooms, no more long commutes, and no more hassle. With our service, you can now book a doctor appointment and have a qualified healthcare professional visit you at your preferred location and time","No more waiting rooms, no more long commutes, and no more hassle. With our service, you can now book a doctor appointment and have a qualified healthcare professional visit you at your preferred location and time","No más salas de espera, no más viajes largos, y no más problemas. Con nuestro servicio, ahora puede reservar una cita con el médico y hacer que un profesional de la salud calificado lo visite en su ubicación y hora preferentes.",لا مزيد من غرف الانتظار ، لا مزيد من التنقل الطويل ، ولا مزيد من المتاعب. مع خدمتنا ، يمكنك الآن حجز موعد الطبيب والحصول على محترف في الرعاية الصحية المؤهلة في موقعك ووقتك المفضل
Health Package not found,Health Package not found,Paquete de salud no encontrado,لم يتم العثور على الحزمة الصحية
Price,Price,Precio,سعر
Branch not found,Branch not found,Rama no encontrada,الفرع لم يتم العثور عليه
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
History,History,Historia,تاريخ
Logout,Logout,Cerrar sesión,تسجيل خروج
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
Change,Change,Cambiar,يتغير
History List,History List,Lista de historia,قائمة التاريخ
Dr. Name,Dr. Name,Dr. Nombre,دكتور اسم
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Home Service History Details,Home Service History Details,Detalles del historial del servicio doméstico,تفاصيل تاريخ الخدمة المنزلية
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Doctor Information,Doctor Information,Información para el médico,معلومات الطبيب
Booking Details,Booking Details,Detalles de la reserva,تفاصيل الحجز
Schedule Information,Schedule Information,Programar información,الجدول الزمني للمعلومات
Day,Day,Día,يوم
From Time,From Time,De vez,من وقت
To Time,To Time,Al tiempo,الى وقت
Serial Number,Serial Number,Número de serie,رقم سري
Serial,Serial,De serie,مسلسل
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
User,User,Usuario,مستخدم
Subject,Subject,Sujeto,موضوع
Last Reply,Last Reply,Última respuesta,الرد الأخير
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Oops!! Failed to upload attactment. Please try again.,Oops!! Failed to upload attactment. Please try again.,¡¡Ups!! No se pudo cargar la atención. Inténtalo de nuevo.,أُووبس!! فشلت في تحميل التوقيت. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة دعم تم إنشاؤها بنجاح!
Conversation,Conversation,Conversación,محادثة
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
Attachments,Attachments,Archivos adjuntos,المرفقات
Write something,Write something,Escribe algo,أكتب شيئا
Notification Not Found!,Notification Not Found!,¡Notificación no encontrada!,الإخطار لم يتم العثور عليه!
Delete,Delete,Borrar,يمسح
Enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
Enter Number,Enter Number,Ingresar número,أدخل رقم
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
Please Enter your new password and get login access on your Dashboard.,Please Enter your new password and get login access on your Dashboard.,Ingrese su nueva contraseña y obtenga acceso de inicio de sesión en su tablero.,الرجاء إدخال كلمة المرور الجديدة والوصول إلى تسجيل الدخول على لوحة القيادة الخاصة بك.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.
These credentials do not match our records.,These credentials do not match our records.,Estas credenciales no coinciden con nuestros registros.,بيانات الاعتماد هذه لا تتطابق مع سجلاتنا.
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Are you sure to delete your account?,Are you sure to delete your account?,¿Seguro que eliminará su cuenta?,هل أنت متأكد من حذف حسابك؟
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","De nuevo y me gusta su cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún desea que su cuenta se elimine, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حسابك المحذوفة. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال تحب حذف حسابك ، فانقر فوق ""حذف الحساب"".؟"
Close,Close,Cerca,يغلق
Your account deleted successfully!,Your account deleted successfully!,¡Su cuenta se eliminó con éxito!,تم حذف حسابك بنجاح!
Something went worng! Please try again.,Something went worng! Please try again.,¡Algo se fue! Inténtalo de nuevo.,ذهب شيء يرتديه! حاول مرة اخرى.
Language switch to,Language switch to,Idioma cambia a,تبديل اللغة إلى
The schedule field is required.,The schedule field is required.,Se requiere el campo de programación.,حقل الجدول مطلوب.
The gender field is required.,The gender field is required.,Se requiere el campo de género.,حقل النوع الاجتماعي مطلوب.
The email field is required.,The email field is required.,Se requiere el campo de correo electrónico.,حقل البريد الإلكتروني مطلوب.
The type field is required.,The type field is required.,Se requiere el campo Tipo.,حقل النوع مطلوب.
The age field is required.,The age field is required.,Se requiere el campo de edad.,حقل العمر مطلوب.
Subscription successful!,Subscription successful!,Suscripción exitosa!,اشتراك ناجح!
The name field is required.,The name field is required.,Se requiere el campo de nombre.,حقل الاسم مطلوب.
The address field is required.,The address field is required.,Se requiere el campo de dirección.,حقل العنوان مطلوب.
Contact Request successfully send!,Contact Request successfully send!,¡Contacto Solicitud de contactar con éxito!,طلب الاتصال بنجاح إرسال!
The attachment field is required.,The attachment field is required.,Se requiere el campo de fijación.,حقل المرفق مطلوب.
The subject field is required.,The subject field is required.,Se requiere el campo de sujeto.,حقل الموضوع مطلوب.
The password field is required.,The password field is required.,Se requiere el campo de contraseña.,حقل كلمة المرور مطلوب.
The current password field is required.,The current password field is required.,Se requiere el campo de contraseña actual.,حقل كلمة المرور الحالي مطلوب.
The country field is required.,The country field is required.,Se requiere el campo del país.,حقل البلد مطلوب.
The phone field is required.,The phone field is required.,Se requiere el campo del teléfono.,حقل الهاتف مطلوب.
The password confirmation does not match.,The password confirmation does not match.,La confirmación de contraseña no coincide.,لا يتطابق تأكيد كلمة المرور.
The firstname field is required.,The firstname field is required.,Se requiere el campo Nombre FirstName.,حقل الاسم الأول مطلوب.
The lastname field is required.,The lastname field is required.,Se requiere el campo LastName.,حقل اسم LastName مطلوب.
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Verifique su dirección de correo. Verifique su bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الخاص بك للحصول على رمز التحقق
Mail Resend Success!,Mail Resend Success!,¡El correo de reenvío de correo!,إعادة إرسال البريد النجاح!
Please fill out this field.,Please fill out this field.,Por favor rellene este campo.,الرجاء ملء هذه الخانة.
Varification code sended to your email address.,Varification code sended to your email address.,Código de varificación enviado a su dirección de correo electrónico.,تم إرسال رمز التباين إلى عنوان بريدك الإلكتروني.
Varification code resend success!,Varification code resend success!,¡El código de varificación reenvía el éxito!,رمز التباين إعادة تقديم النجاح!
home Service History,Home Service History,Historial de servicios a domicilio,تاريخ الخدمة المنزلية
remember Me,Remember Me,Acuérdate de mí,تذكرنى
make Appointment,Make Appointment,Concertar cita,حدد موعدا
filters,Filter,Filtros,المرشحات
enter Patient Name,Enter Patient Name,Ingrese el nombre del paciente,أدخل اسم المريض
enter Mobile Number,Enter Mobile Number,Ingrese el número de móvil,أدخل رقم الهاتف المحمول
enter Age,Enter Age,Entrar en edad,دخول العمر
appointment Success,"Your appointment has been set successfully, Thanks to use ADoctor.","Su cita se ha establecido con éxito, gracias a usar AdoCtor.",تم تعيين موعدك بنجاح ، وذلك بفضل استخدام Adoctor.
testimonials,Testimonials,Testimonios,الشهادات - التوصيات
schedule Available,Schedule Available,Programación disponible,الجدول الزمني المتاح
appointment Type,Appointment Type,Tipo de cita,نوع الموعد
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Hospital Departments,Hospital Departments,Departamentos de hospital,إدارات المستشفيات
Hospital Branch,Hospital Branch,Rama del hospital,فرع المستشفى
Doctors,Doctors,Doctores,الأطباء
Symbol,Symbol,Símbolo,رمز
Role,Role,Role,دور
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Cancel,Cancel,Cancelar,يلغي
FIAT,FIAT,FÍAT,فيات
Successfully updated the information.,Successfully updated the information.,Actualizó con éxito la información.,تم تحديث المعلومات بنجاح.
Add Department,Add Department,Agregar departamento,إضافة قسم
Last Edit By,Last Edit By,Última edición por,التحرير الأخير بواسطة
Add Hospital Department,Add Hospital Department,Agregar departamento de hospital,أضف قسم المستشفى
Write Name,Write Name,Escribir nombre,اكتب الاسم
Add,Add,Agregar,يضيف
Edit Hospital Department,Edit Hospital Department,Editar departamento de hospital,تحرير قسم المستشفى
The edit name field is required.,The edit name field is required.,Se requiere el campo Nombre de edición.,حقل اسم التحرير مطلوب.
Hospital Department created successfully!,Hospital Department created successfully!,¡Departamento de hospital creado con éxito!,أنشأ قسم المستشفيات بنجاح!
Hospital Department updated successfully!,Hospital Department updated successfully!,¡Departamento de hospital actualizado con éxito!,قسم المستشفى تم تحديثه بنجاح!
Hospital Department Deleted Successfully!,Hospital Department Deleted Successfully!,Departamento de hospital eliminado con éxito!,تم حذف قسم المستشفيات بنجاح!
Total Journals,Total Journals,Total de revistas,إجمالي المجلات
Total Hospital Branch,Total Hospital Branch,Rama de Hospital Total,فرع المستشفى الكلي
Total Hospital Departments,Total Hospital Departments,Departamentos de hospital totales,إجمالي إدارات المستشفيات
Total Hospital Tests,Total Hospital Tests,Pruebas hospitalarias totales,اختبارات المستشفى الكلية
Total Hospital Packages,Total Hospital Packages,Paquetes de hospital total,إجمالي حزم المستشفيات
Total Doctors,Total Doctors,Total de los médicos,إجمالي الأطباء
Doctor Appointments,Doctor Appointments,Citas con el médico,مواعيد الطبيب
Total Home Service Bookings,Total Home Service Bookings,Reservas de servicio total en casa,حجوزات الخدمات المنزلية الكلية
User Analytics Chart,User Analytics Chart,Gráfico de análisis de usuarios,مخطط تحليلات المستخدم
Active,Active,Activo,نشيط
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
View User,View User,Ver usuario,عرض المستخدم
Doctor Appointment Booking Chart,Doctor Appointment Booking Chart,Gráfico de reserva de citas para el médico,مخطط حجز مواعيد الطبيب
View Doctor Appointment,View Doctor Appointment,Ver la cita con el médico,عرض موعد الطبيب
Home Service Chart,Home Service Chart,Gráfico de servicio domiciliario,مخطط الخدمة المنزلية
View Home Service,View Home Service,Ver servicio en casa,عرض الخدمة المنزلية
Recent Appointments,Recent Appointments,Citas recientes,المواعيد الأخيرة
Time,Time,Tiempo,وقت
Add Branch,Add Branch,Agregar rama,أضف فرع
Hospital Branch Create,Hospital Branch Create,Rama del hospital crea,فرع المستشفى خلق
Branch Email,Branch Email,Ramificarse por correo electrónico,فرع البريد الإلكتروني
Branch Web,Branch Web,Rama,فرع الويب
Branch Description,Branch Description,Descripción de la rama,وصف الفرع
Write Web,Write Web,Escribir web,اكتب الويب
Write Description,Write Description,Escribir descripción,اكتب الوصف
The departments field is required.,The departments field is required.,Se requiere el campo de los departamentos.,حقل الإدارات مطلوب.
The description field is required.,The description field is required.,Se requiere el campo de descripción.,حقل الوصف مطلوب.
The web field is required.,The web field is required.,Se requiere el campo web.,حقل الويب مطلوب.
Hospital Branch created successfully!,Hospital Branch created successfully!,¡La sucursal del hospital creada con éxito!,خلق فرع المستشفى بنجاح!
Hospital Branch Edit,Hospital Branch Edit,Edición de la sucursal del hospital,فرع المستشفى تحرير
Hospital Branch updated successfully!,Hospital Branch updated successfully!,Branch del hospital actualizada con éxito!,تحديث فرع المستشفى بنجاح!
Hospital Branch Deleted Successfully!,Hospital Branch Deleted Successfully!,Branch del hospital eliminada con éxito!,حذف فرع المستشفى بنجاح!
Add Doctor,Add Doctor,Agregar doctor,أضف الطبيب
Doctor Create,Doctor Create,Doctor Crear,خلق الطبيب
Image,Image,Imagen,صورة
Doctor Title,Doctor Title,Título de doctor,عنوان الطبيب
Write Title,Write Title,Escribir título,اكتب العنوان
Doctor Qualification,Doctor Qualification,Calificación del doctor,مؤهل الطبيب
Write Qualification,Write Qualification,Calificación de escritura,اكتب المؤهل
Doctor Speciality,Doctor Speciality,Especialidad de doctor,تخصص الطبيب
Write Speciality,Write Speciality,Escribir especialidad,اكتب التخصص
Add Language,Add Language,Agregar lenguaje,إضافة لغة
Doctor Designation,Doctor Designation,Designación de doctor,تعيين الطبيب
Write Designation,Write Designation,Designación de escritura,كتابة تعيين
Doctor Contact,Doctor Contact,Contacto doctor,اتصال الطبيب
Write Contact,Write Contact,Contacto de escritura,اكتب الاتصال
Doctor Off Days,Doctor Off Days,Doctor Días,الطبيب بعيدا عن أيام
Write Off Days,Write Off Days,Creditar días,شطب أيام
Doctor Floor Number,Doctor Floor Number,Número de piso de doctor,رقم الطابق الطبيب
Write Floor Number,Write Floor Number,Escribir el número de piso,اكتب رقم الطابق
Doctor Room Number,Doctor Room Number,Número de sala de doctor,رقم غرفة الطبيب
Write Room Number,Write Room Number,Número de sala de escritura,كتابة رقم الغرفة
Doctor Address,Doctor Address,Dirección docente,عنوان الطبيب
Write Address,Write Address,Escribir la dirección,كتابة العنوان
Doctor Fees,Doctor Fees,Tarifas de doctor,رسوم الطبيب
Write Fees,Write Fees,Escribir tarifas,كتابة الرسوم
Patient,Patient,Paciente,مريض
Max,Max,Máximo,الأعلى
The max_patient.0 field is required.,The max_patient.0 field is required.,Se requiere el campo max_patient.0.,مطلوب حقل max_patient.0.
The to_time.0 field is required.,The to_time.0 field is required.,Se requiere el campo To_Time.0.,حقل TO_TIME.0 مطلوب.
The from_time.0 field is required.,The from_time.0 field is required.,Se requiere el campo From_time.0.,مطلوب حقل From_Time.0.
The schedule day field is required.,The schedule day field is required.,Se requiere el campo del día del horario.,حقل يوم الجدول مطلوب.
The off days field is required.,The off days field is required.,Se requiere el campo de días de salida.,مطلوب حقل أيام الإيقاف.
The fees field is required.,The fees field is required.,Se requiere el campo de tarifas.,حقل الرسوم مطلوب.
The branch field is required.,The branch field is required.,Se requiere el campo de la rama.,حقل الفرع مطلوب.
The language field is required.,The language field is required.,Se requiere el campo del idioma.,حقل اللغة مطلوب.
The designation field is required.,The designation field is required.,Se requiere el campo de designación.,حقل التعيين مطلوب.
The contact field is required.,The contact field is required.,Se requiere el campo de contacto.,حقل الاتصال مطلوب.
Select Day,Select Day,Día de selección,حدد اليوم
Doctor Created Successfully!,Doctor Created Successfully!,Doctor creado con éxito!,خلق الطبيب بنجاح!
Doctor Edit,Doctor Edit,Doctor Editar,دكتور تحرير
Doctor Updated Successfully!,Doctor Updated Successfully!,Doctor actualizado con éxito!,تم تحديث الطبيب بنجاح!
Doctor Deleted Successfully!,Doctor Deleted Successfully!,Doctor eliminado con éxito!,حذف الطبيب بنجاح!
Investigations,Investigations,Investigaciones,التحقيقات
Category,Category,Categoría,فئة
Add Investigation,Add Investigation,Agregar investigación,إضافة التحقيق
Test Name,Test Name,Nombre de la prueba,اسم الاختبار
Regular Price,Regular Price,Precio regular,سعر عادي
Write Price,Write Price,Escribir precio,كتابة السعر
Offer Price,Offer Price,Precio de oferta,سعر العرض
Write Offer Price,Write Offer Price,Escribir precio de oferta,اكتب سعر العرض
Investigation created Successfully!,Investigation created Successfully!,¡Investigación creada con éxito!,تم إنشاء التحقيق بنجاح!
Edit Investigation,Edit Investigation,Editar investigación,تحرير التحقيق
Investigation status updated successfully!,Investigation status updated successfully!,Estado de investigación actualizado con éxito!,تم تحديث حالة التحقيق بنجاح!
Investigation updated successfully!,Investigation updated successfully!,¡Investigación actualizada con éxito!,التحديث التحديث بنجاح!
Investigation Deleted Successfully!,Investigation Deleted Successfully!,¡Investigación eliminada con éxito!,تم حذف التحقيق بنجاح!
The price field is required.,The price field is required.,Se requiere el campo de precio.,حقل السعر مطلوب.
Enable,Enable,Permitir,يُمكَِن
Disable,Disable,Desactivar,إبطال
Currency status updated successfully!,Currency status updated successfully!,Estado de divisas actualizado con éxito!,تم تحديث حالة العملة بنجاح!
Hospital Department status updated successfully!,Hospital Department status updated successfully!,Estado del departamento del hospital actualizado con éxito!,حالة قسم المستشفى تم تحديثها بنجاح!
Hospital Branch status updated successfully!,Hospital Branch status updated successfully!,Estado de la rama del hospital actualizado con éxito!,تم تحديث حالة فرع المستشفى بنجاح!
Doctor status updated successfully!,Doctor status updated successfully!,Estado del médico actualizado con éxito!,تم تحديث حالة الطبيب بنجاح!
Health Packages,Health Packages,Paquetes de salud,الحزم الصحية
Add Health Package,Add Health Package,Agregar paquete de salud,إضافة حزمة الصحة
Package Name,Package Name,Nombre del paquete,اسم الحزمة
Package Title,Package Title,Título de paquete,عنوان الحزمة
Hospital Package created successfully!,Hospital Package created successfully!,¡Paquete hospitalario creado con éxito!,حزمة المستشفى التي تم إنشاؤها بنجاح!
Edit Health Package,Edit Health Package,Editar paquete de salud,تحرير حزمة الصحة
Health Package updated successfully!,Health Package updated successfully!,Paquete de salud actualizado con éxito!,حزمة الصحة تحديث بنجاح!
